renda_mensal,score_bureau,idade,tempo_emprego_meses,valor_solicitado,possui_garantia,atraso_30d_12m,historico_fraude,target_default
6101.1,818,43,143,27743.09,0,0,0,0
11005.7,761,37,160,13596.93,1,0,0,0
1512.29,657,44,180,1281.47,0,0,0,0
4906.42,572,53,182,39485.87,0,1,0,0
2368.79,734,36,102,10061.39,1,0,0,0
2612.97,697,36,129,26027.74,1,0,0,0
2453.04,757,54,312,27034.75,0,0,0,0
2084.17,726,46,233,23168.39,0,0,0,0
3603.39,776,33,118,12845.18,1,0,0,0
2125.9,586,43,179,10727.38,1,0,0,0
4116.64,808,33,99,24192.23,1,0,0,0
3396.07,674,33,79,33947.58,0,0,0,0
3032.52,899,40,139,36622.03,0,0,0,0
2030.38,567,19,4,4634.17,0,0,0,0
2476.14,858,21,4,6520.9,1,0,0,0
5506.88,674,32,87,39354.82,0,0,0,0
4727.11,572,28,70,30171.07,0,0,0,0
1946.88,592,41,193,33055.05,1,0,0,1
3714.94,612,29,118,8624.71,0,0,0,0
5493.66,701,24,50,24782.17,1,0,0,0
1285.46,713,53,261,25839.85,0,0,0,0
4849.03,581,36,121,28022.52,0,0,0,0
2351.82,647,39,172,15884.89,0,0,0,0
4928.93,907,24,63,1435.57,1,0,0,0
2214.01,857,33,73,22265.25,0,0,0,0
1200.0,702,39,145,9767.36,0,0,0,0
1318.16,655,26,68,16873.32,1,0,0,0
3602.45,664,42,159,37688.26,0,0,0,0
4090.21,724,32,121,16404.47,0,1,0,0
2034.34,527,35,121,31563.15,0,0,0,1
5134.17,619,32,81,8428.53,0,0,0,1
1291.56,450,57,258,24817.78,0,0,0,0
3363.95,698,38,135,38157.12,0,0,0,0
1692.41,728,27,45,4438.35,0,0,0,0
2367.09,592,46,139,1065.34,0,0,0,0
3600.97,839,26,68,17494.42,0,0,0,0
2088.64,503,40,136,4154.69,0,0,0,0
2778.83,474,18,0,28881.92,0,0,0,1
6401.54,677,25,47,39107.57,0,0,0,0
2475.96,776,40,203,16910.09,0,0,0,0
5778.7,852,45,165,11470.64,0,1,0,0
1777.02,595,40,151,16550.49,0,1,0,1
4809.75,779,37,178,29721.71,1,0,0,0
8312.03,645,35,150,1298.55,0,0,0,0
1200.0,629,23,18,21778.91,1,0,0,1
2169.78,756,31,120,23352.89,1,0,0,0
4948.11,728,33,100,26402.15,0,0,0,0
3098.55,461,49,217,9957.63,0,0,0,0
4373.01,827,41,122,28969.09,0,0,0,0
2436.04,816,20,19,4155.01,1,0,0,0
3686.65,575,41,178,8487.39,0,0,0,1
3187.88,697,34,134,34163.32,0,0,0,0
7052.85,709,31,96,32334.55,0,0,0,0
4077.22,681,44,217,1335.23,1,0,0,0
4285.87,584,48,254,10574.03,1,0,0,0
2733.65,569,47,163,8809.02,0,1,0,0
2612.22,647,30,96,10883.26,0,0,0,0
2699.94,791,35,97,10042.13,0,0,0,0
4434.59,715,41,197,3277.16,0,1,0,0
2718.75,606,48,239,17974.26,1,0,0,0
4164.63,743,33,140,29521.35,0,0,0,0
12158.2,308,36,91,30477.77,0,0,0,1
5902.86,788,27,44,28592.08,0,0,0,0
2878.15,441,26,56,3827.16,1,0,0,0
7195.76,607,46,173,41560.55,1,0,0,0
2739.89,516,52,186,32227.74,0,0,0,0
1200.0,495,37,178,29479.54,1,0,0,1
1911.54,789,48,181,30824.27,0,0,0,0
1200.0,594,42,146,34037.01,0,0,0,1
2834.47,692,32,116,21250.12,0,0,0,1
3538.89,644,42,174,8488.13,0,0,0,0
9569.92,707,53,304,29026.78,0,0,0,0
4258.51,659,38,98,30003.4,1,0,0,0
3068.85,496,54,259,28747.34,0,2,0,0
5756.94,770,18,0,22254.16,0,0,0,0
1200.0,591,46,135,3173.54,0,0,0,1
4031.47,463,39,188,15285.38,0,1,0,1
5558.24,599,35,98,38434.27,1,0,0,0
1441.39,830,39,160,21771.88,0,0,0,0
6951.9,752,18,3,23732.73,0,0,0,0
4288.17,608,36,121,11380.39,1,0,0,0
2728.06,608,42,222,14585.33,0,0,0,0
5116.3,611,53,168,36920.25,0,0,1,0
13669.66,899,33,122,34601.49,0,0,0,0
3903.54,696,30,118,31415.61,0,0,0,0
4062.08,702,33,117,18551.95,1,1,0,0
2656.86,774,47,277,24350.43,1,0,0,0
2101.93,679,41,120,9883.98,0,0,0,0
5760.16,619,33,104,29814.31,1,0,0,0
2094.08,626,43,158,16470.01,0,0,0,0
3653.56,641,39,174,17868.43,0,0,0,0
2627.86,646,48,280,25041.47,0,0,0,0
4665.29,737,31,77,38063.18,0,0,0,1
4275.75,656,35,131,3319.88,0,0,0,0
6522.69,738,34,88,35471.58,0,0,0,0
2577.33,640,23,37,11676.79,1,0,0,0
2976.77,659,41,157,17551.9,0,0,0,0
1945.47,410,41,216,1548.45,0,1,0,1
2680.99,760,38,143,12039.38,0,0,0,0
4389.18,692,36,118,20640.01,0,0,0,0
5512.16,770,24,32,3123.28,0,1,0,0
2012.67,302,34,84,18755.26,0,1,0,1
5897.49,901,35,104,39071.36,1,0,0,0
7894.34,633,30,78,5482.9,0,0,0,0
4485.38,783,36,150,31060.24,0,0,0,0
10792.38,525,42,175,20210.21,0,0,0,1
2200.07,724,57,281,24920.38,0,0,0,0
1658.59,524,40,112,10173.51,0,0,0,0
1203.86,575,41,210,6425.28,1,0,1,1
8588.2,880,37,156,8030.61,0,0,0,0
5182.99,627,19,4,3671.93,0,0,0,0
3385.2,676,38,152,7887.99,0,0,0,0
4140.2,754,39,159,26816.09,0,0,0,0
1781.52,709,63,226,32831.95,0,0,0,0
15183.57,668,36,126,43525.85,1,0,0,0
3782.16,694,41,166,27338.23,0,0,0,0
3737.44,938,38,120,5062.88,1,0,0,0
5409.86,643,26,67,12588.78,0,0,0,0
4670.98,674,49,257,13140.27,1,0,0,0
4003.2,776,46,225,10546.34,0,0,0,0
2178.16,783,46,207,19736.17,0,0,0,0
4644.32,792,29,82,22106.0,0,0,0,0
10826.29,727,52,271,17744.79,1,0,0,0
7846.09,513,24,42,16287.69,0,1,0,1
9103.65,846,44,137,38208.37,0,0,1,1
2575.47,512,60,299,30225.13,0,1,0,0
1932.86,686,28,90,12003.42,1,0,0,0
3245.57,559,32,101,35608.58,0,0,0,1
3619.0,642,39,112,37523.54,1,0,0,0
6748.21,689,33,145,14662.22,0,0,0,1
1267.8,689,22,25,13415.63,0,0,1,0
8762.6,701,39,124,23464.02,0,0,0,0
3183.43,844,27,50,36580.13,1,0,0,0
2709.15,704,43,149,33614.7,0,0,0,1
1906.94,621,29,89,4493.86,1,0,0,0
1296.73,766,53,253,14800.68,0,0,0,0
5735.44,793,30,66,23550.7,0,0,0,0
3657.4,503,35,154,20209.25,0,0,0,0
1614.11,722,46,248,7756.23,0,0,0,0
1609.17,734,26,79,31821.25,1,0,0,0
2861.35,614,40,131,26265.61,1,0,0,0
9527.44,815,51,230,39057.07,1,0,0,0
2995.19,632,22,36,33252.36,1,0,0,0
1420.31,665,40,188,27652.66,0,1,0,1
3020.18,629,41,118,17397.37,0,0,0,0
2971.68,652,46,138,23846.75,1,0,0,1
1200.0,518,26,52,6455.64,0,0,0,0
3387.82,477,25,62,26571.2,0,0,0,1
3047.14,841,43,177,7563.86,0,0,0,0
5314.75,548,41,160,28967.31,0,0,0,0
10613.6,531,41,119,11695.69,1,0,0,0
6880.57,392,41,188,5848.32,0,0,0,1
2978.53,573,31,115,7019.69,0,0,0,0
1801.91,491,40,147,1000.0,0,1,0,0
16391.76,847,41,201,39601.11,0,0,0,0
3626.59,771,31,122,29031.99,0,0,0,0
3529.37,567,57,228,20584.17,0,0,0,0
3449.7,920,43,182,6972.16,1,0,0,0
3941.71,768,26,51,4047.83,1,0,0,0
3209.6,611,45,229,1505.36,0,0,0,0
2480.76,350,28,61,6928.25,0,0,0,1
2520.98,925,46,219,33957.94,1,0,0,0
3431.89,483,50,285,10041.9,0,0,0,0
2526.18,453,30,86,13964.6,0,0,0,0
2282.01,773,48,282,4650.83,0,0,0,0
3730.79,943,42,184,9392.12,0,0,0,0
3003.5,816,46,156,20415.45,0,0,0,0
8629.26,718,57,319,27920.5,1,0,0,0
1200.0,721,36,151,9490.63,0,1,0,0
6737.35,752,30,74,3299.33,0,0,0,0
7392.12,741,29,102,17689.14,0,0,0,0
1200.0,684,30,117,9092.48,0,0,0,0
2849.52,663,37,116,9034.82,0,0,0,0
2800.78,642,41,216,36852.03,1,0,0,1
1504.19,560,41,126,22965.4,1,1,0,1
2194.76,616,46,165,21290.93,0,0,0,0
1797.54,447,38,105,15883.14,1,0,0,0
10015.41,638,53,304,20705.32,1,0,0,0
6135.98,531,35,132,23303.43,1,1,0,1
7505.95,518,65,253,30915.07,0,0,0,0
5396.58,672,44,177,29369.21,0,0,0,0
1777.72,817,29,84,6990.71,0,0,0,0
2555.0,760,27,44,19417.87,0,0,0,1
4694.48,462,43,235,17217.13,0,0,0,0
1681.16,531,36,158,32320.49,0,2,0,1
5368.57,763,45,197,26472.94,1,1,0,0
3030.02,532,43,240,20935.08,1,0,0,0
2795.11,623,37,122,5104.43,1,0,0,0
5362.01,716,30,121,25421.05,0,0,0,1
4569.12,534,23,40,5459.52,0,0,0,0
2818.44,663,34,130,13451.49,0,0,0,0
7017.18,490,47,156,6946.65,0,0,0,0
1829.65,578,40,189,25971.15,0,0,0,0
5064.85,688,26,60,9124.5,0,0,0,0
4995.93,459,40,125,16562.94,0,1,0,1
2906.75,703,42,111,34553.13,1,0,0,0
4256.48,648,29,77,8832.94,0,0,0,0
1652.18,716,40,168,19144.01,1,0,0,0
6093.24,677,39,166,18231.61,0,0,0,0
3132.47,814,27,92,1463.6,0,0,0,0
2557.75,665,42,119,30337.54,0,0,0,1
6567.73,598,44,220,3759.19,0,0,0,0
2293.68,665,49,175,18301.24,0,0,0,0
1503.34,715,49,280,20958.58,0,0,0,0
1375.46,656,24,49,23304.54,0,0,0,0
5034.78,655,29,80,28518.22,0,1,0,1
1623.37,566,43,205,9909.72,0,0,0,1
10030.59,570,43,152,1400.72,1,0,0,0
1200.0,482,43,181,26563.84,0,0,0,0
9685.57,860,70,452,25406.73,1,0,0,0
3972.41,501,44,181,33380.14,0,0,0,0
3302.68,567,49,196,32143.12,1,0,0,0
2523.92,564,48,200,32189.76,1,1,0,0
4447.07,757,45,236,19982.4,0,0,0,0
3421.85,615,35,123,13568.13,0,0,0,0
6785.2,800,46,162,34329.45,1,0,0,0
3748.29,569,30,98,18258.65,0,0,0,1
3830.3,683,36,156,7910.3,0,0,0,0
2813.97,550,33,79,32922.45,0,1,0,1
3382.43,907,39,128,34563.57,1,0,0,0
4209.92,507,61,229,19104.1,1,1,0,0
1254.41,687,19,13,3438.28,0,0,0,0
1558.7,726,45,192,14750.74,0,1,0,1
5466.95,700,22,38,33558.6,0,0,0,1
3877.86,628,33,122,35836.34,0,0,0,0
3134.2,634,49,241,8504.3,1,0,0,0
3538.93,655,39,140,3360.86,0,0,0,0
4311.61,632,27,83,35345.16,0,0,0,0
2531.74,766,31,90,15276.74,0,0,0,0
2194.12,915,45,253,20732.96,1,0,0,0
3936.41,583,31,103,38480.52,0,0,0,0
1945.93,486,40,128,3182.2,0,2,0,0
4471.46,639,38,153,26453.76,0,1,0,0
1260.13,960,31,74,3381.88,0,0,0,0
6489.96,554,59,333,16599.99,0,0,0,0
4647.46,847,44,134,32775.56,0,0,0,0
4081.16,851,18,1,17746.47,0,0,0,0
6311.53,584,40,197,42456.28,1,0,0,0
9507.18,718,31,75,26354.44,1,0,0,0
6432.64,845,47,265,14299.77,1,0,0,0
1200.0,605,30,64,8589.24,0,0,0,0
1624.2,626,37,145,13431.35,1,1,0,0
2405.77,580,43,203,14589.6,0,0,0,0
3555.22,528,47,201,3429.49,0,0,0,0
4774.83,572,26,49,15566.22,0,0,0,0
2264.42,503,35,109,17913.97,0,1,0,1
3915.03,654,33,75,28911.4,0,0,0,0
2224.5,558,31,83,24997.22,0,0,0,0
2425.05,678,56,294,27090.16,0,0,0,0
1504.96,463,42,220,1037.8,0,0,0,0
2011.38,690,25,61,8729.13,0,0,0,0
1555.43,750,47,244,24643.44,0,0,0,0
1948.85,411,59,360,18456.84,0,1,0,1
6586.01,695,48,243,1081.47,1,0,0,0
1980.05,797,23,24,30214.98,1,1,0,1
16982.65,505,33,139,43049.19,0,0,0,1
4705.6,851,51,268,22658.55,0,0,0,0
3910.5,700,31,104,3379.19,0,0,0,0
2091.22,565,42,137,28926.73,1,0,0,0
5327.86,643,46,188,24506.54,0,0,0,0
2477.82,717,29,72,29859.26,0,0,0,0
3765.83,659,37,163,29904.5,0,0,0,0
16261.72,715,18,0,43989.69,0,0,0,0
3303.98,540,28,69,20559.68,0,0,0,0
6974.96,670,35,167,6831.55,1,0,0,0
2295.29,480,26,42,25587.42,0,0,0,1
3427.29,637,54,244,24565.32,0,0,0,1
10127.39,542,24,31,35242.44,1,0,0,1
2402.68,562,34,129,7064.59,1,0,0,0
10383.65,798,39,206,10017.73,0,0,0,0
5351.7,781,52,199,36973.37,0,0,0,0
2497.48,723,24,55,28686.89,0,0,0,1
5115.15,519,50,211,37438.37,1,0,0,0
6273.26,612,38,183,32471.81,0,0,0,0
5082.73,796,28,83,24873.78,1,0,0,0
1364.28,667,43,214,24218.98,0,0,0,0
2262.52,928,40,106,33617.11,0,0,0,0
3016.97,697,32,140,22679.06,0,0,0,0
3347.13,673,39,161,24960.59,0,0,0,0
5079.26,613,34,109,7123.72,0,0,0,0
3893.79,666,39,176,19219.08,0,0,0,0
1570.75,632,45,164,26633.45,0,0,0,0
4396.82,735,54,321,11499.81,1,0,0,0
5048.62,765,26,46,8959.3,0,0,0,0
4897.07,556,59,326,13389.1,0,1,0,0
6694.13,490,18,3,11045.3,0,1,0,1
5772.56,430,36,107,9668.99,0,0,0,0
4610.2,711,44,147,17686.4,0,0,0,1
3355.71,518,41,113,35502.01,0,0,0,1
1291.99,392,32,95,18893.57,1,0,0,1
4529.15,697,36,115,8255.29,0,0,0,0
3964.48,949,33,115,3794.14,0,0,0,0
4119.41,649,32,83,28049.5,0,1,0,0
1626.96,751,46,178,14601.46,0,0,0,0
1829.66,660,42,212,30701.03,0,0,0,0
6584.08,638,31,64,28585.75,1,0,0,0
3417.91,760,47,269,31293.57,1,0,0,0
5268.07,615,41,197,11838.96,0,0,0,0
3559.98,682,46,218,27431.94,0,0,0,0
3563.05,689,44,202,10949.3,0,0,0,0
6145.58,570,30,118,39844.38,0,0,0,0
2568.02,769,32,82,24511.12,0,1,0,0
3707.79,629,45,138,13334.73,0,1,0,1
2652.22,559,44,155,10848.52,0,0,0,0
2696.8,714,38,165,7919.02,0,0,0,0
2907.4,542,39,108,26971.01,0,0,0,0
3999.0,653,51,256,9326.5,0,0,0,0
2626.14,649,32,131,23020.43,0,0,0,0
7435.13,780,43,220,12269.32,0,0,0,0
2046.23,707,36,133,25047.58,1,0,0,0
3128.77,647,36,89,31726.04,0,0,0,0
2688.34,748,49,272,29910.5,0,0,0,0
8339.05,817,46,228,34458.8,0,0,0,0
3938.09,717,46,148,8102.77,1,0,0,0
6500.44,651,51,171,4563.27,0,0,0,0
1435.38,493,38,179,25888.22,0,0,0,0
4108.23,522,45,221,15212.49,0,1,0,0
5968.77,613,35,148,18707.48,1,0,0,0
3677.13,577,41,204,1991.36,1,0,0,0
6632.96,628,37,151,11787.45,0,0,0,0
2566.11,657,39,161,2018.31,1,0,0,0
8152.88,714,44,175,39481.19,1,0,0,0
13902.96,642,30,65,13361.68,1,0,0,0
2815.27,708,59,288,21729.44,0,0,0,1
2679.05,658,28,81,2224.09,0,0,0,1
8371.17,413,26,66,30338.55,0,0,0,0
9029.58,537,50,279,15426.71,1,0,0,0
2557.54,633,46,199,34260.65,0,1,0,0
2720.05,505,44,193,34068.63,0,0,0,1
2955.57,722,44,208,13059.03,0,0,0,0
1562.2,834,38,153,33295.65,1,0,0,0
2016.92,796,29,84,37279.4,1,1,0,1
1916.07,624,39,122,30917.65,0,1,0,1
2207.99,829,31,98,31925.87,1,0,0,0
3427.91,668,48,160,10327.08,0,0,0,0
4028.09,610,37,130,23309.43,1,0,0,0
8873.45,576,30,98,3921.67,0,1,0,0
1922.74,614,35,125,4216.45,0,0,0,0
6317.71,603,42,234,42535.04,1,0,0,0
3078.28,670,32,108,13160.06,0,0,0,0
3397.65,669,30,95,29433.72,1,0,0,0
5246.99,650,40,151,33472.03,0,0,0,0
1784.48,702,40,171,31973.63,0,0,0,0
4402.66,793,33,83,40189.56,0,0,0,0
3867.6,764,33,90,10174.55,0,0,0,0
4703.16,472,40,153,2420.09,0,0,0,0
4163.12,344,24,34,16916.91,0,1,0,1
15270.81,762,24,30,7864.32,0,0,0,0
2387.19,486,31,64,1589.46,0,0,0,0
2545.09,623,36,112,14202.49,1,0,0,0
2408.2,510,41,223,29859.6,1,0,0,1
