km,ano,qtd_revisoes,qtd_donos,estado_carro,marca,preco_real
75349,2019,9,4,3,Fiat,15015
19505,2025,0,1,3,Hyundai,116393
29376,2023,1,1,3,Toyota,97104
32003,2022,2,1,4,Ford,50422
120081,2014,8,3,4,Jeep,10000
138526,2014,8,4,2,Hyundai,10000
148241,2011,10,4,3,Nissan,10000
19326,2024,1,1,3,Volkswagen,103589
44171,2022,2,3,3,Toyota,61885
21346,2023,0,1,4,Nissan,61457
164590,2009,7,4,2,Hyundai,10000
17415,2025,0,1,4,Honda,127598
11542,2024,0,1,4,Chevrolet,59317
122854,2016,7,4,1,Fiat,10000
99832,2015,6,2,3,Ford,10000
112418,2015,7,4,2,Ford,10000
84055,2018,5,3,2,Nissan,10832
48376,2021,5,1,3,Volkswagen,40502
55974,2020,6,3,3,Jeep,37833
103047,2017,4,2,3,Jeep,11391
28603,2022,0,2,2,Volkswagen,48990
130111,2014,5,3,2,Chevrolet,10000
97361,2017,5,3,3,Nissan,10000
77040,2019,2,2,2,Jeep,28392
66365,2020,5,2,3,Ford,26516
7501,2024,0,1,2,Chevrolet,71951
100595,2015,4,3,3,Toyota,10000
58221,2021,3,1,3,Honda,46506
38302,2022,2,1,3,Chevrolet,49490
168404,2010,4,4,3,Honda,10000
46747,2022,3,1,3,Fiat,37814
121463,2015,4,4,2,Fiat,10000
185650,2011,9,4,1,Chevrolet,10000
12270,2025,1,1,3,Chevrolet,101956
20243,2025,1,1,3,Chevrolet,90802
19021,2024,1,2,3,Toyota,141847
81365,2018,2,2,3,Chevrolet,12385
170012,2012,7,4,2,Volkswagen,10000
27651,2023,2,3,3,Chevrolet,66440
72241,2020,5,2,3,Jeep,42297
130630,2013,3,4,3,Ford,10000
53488,2021,5,2,3,Ford,35382
196397,2010,11,3,1,Hyundai,10000
5000,2025,0,1,4,Jeep,157982
82613,2017,5,4,3,Volkswagen,10000
12464,2023,2,1,3,Honda,75933
81149,2018,5,2,4,Honda,16975
53740,2021,3,2,3,Hyundai,36924
60019,2021,2,2,3,Fiat,27694
120937,2015,7,4,2,Honda,10000
18514,2025,0,1,3,Fiat,87734
6480,2024,0,1,2,Hyundai,92014
5186,2025,0,1,4,Honda,134591
11778,2025,0,1,2,Volkswagen,103660
38661,2022,2,1,4,Renault,44860
11869,2025,0,1,3,Fiat,91158
126183,2012,5,3,2,Renault,10000
118873,2015,8,3,2,Ford,10000
159791,2010,5,4,3,Volkswagen,10000
91087,2018,3,3,3,Volkswagen,12048
75592,2019,3,3,3,Jeep,27572
85366,2017,7,3,4,Fiat,10000
9945,2024,0,2,4,Volkswagen,117547
61622,2019,5,3,2,Chevrolet,19322
95291,2017,9,3,3,Hyundai,10000
55641,2021,2,3,3,Toyota,52826
118923,2014,8,3,2,Volkswagen,10000
14016,2024,1,1,3,Chevrolet,82982
148353,2012,15,4,2,Volkswagen,10000
8829,2025,0,1,4,Volkswagen,109994
11572,2024,0,3,4,Ford,83996
106905,2015,6,3,2,Honda,10000
194869,2008,9,4,2,Volkswagen,10000
7208,2024,0,1,3,Chevrolet,74080
35114,2023,2,2,4,Ford,75045
24199,2023,1,1,3,Jeep,94546
9201,2024,1,1,4,Jeep,116803
159086,2012,5,3,1,Renault,10000
70899,2019,6,2,3,Volkswagen,21195
140938,2013,4,4,2,Fiat,10000
14457,2024,1,1,4,Chevrolet,91725
41248,2022,2,3,4,Chevrolet,56028
78386,2018,3,3,2,Toyota,16612
159382,2011,8,4,1,Renault,10000
81089,2018,4,3,2,Nissan,12099
59639,2018,6,2,4,Renault,15686
15429,2023,3,2,4,Chevrolet,64945
45470,2022,2,1,2,Honda,64342
18580,2025,0,1,3,Chevrolet,102611
57773,2020,4,1,4,Fiat,22415
151989,2013,9,3,2,Honda,10000
25761,2023,2,1,3,Fiat,55199
41417,2023,0,1,3,Ford,58750
56957,2021,0,1,2,Chevrolet,34560
11488,2024,1,3,4,Honda,103782
40356,2021,2,1,4,Renault,37418
35148,2021,3,2,2,Chevrolet,47872
61820,2020,6,3,4,Renault,24116
179898,2009,7,4,2,Chevrolet,10000
124293,2013,5,2,3,Ford,10000
181655,2009,14,4,3,Honda,10000
28507,2022,2,2,3,Honda,62416
101855,2018,3,3,3,Jeep,17037
55053,2021,3,2,4,Volkswagen,41791
11968,2025,1,1,3,Hyundai,132076
125759,2016,7,4,3,Hyundai,10000
60692,2020,2,2,3,Nissan,27490
19128,2023,0,2,3,Volkswagen,65491
126277,2016,5,3,2,Renault,10000
163772,2012,8,4,1,Toyota,10000
84265,2017,7,3,2,Chevrolet,10000
129475,2014,8,3,2,Toyota,10000
8498,2025,0,1,3,Chevrolet,102752
6469,2024,0,1,3,Hyundai,87774
42417,2022,3,2,4,Nissan,55615
19638,2024,2,1,3,Toyota,99440
6406,2024,1,1,4,Hyundai,100266
127121,2015,4,4,2,Toyota,10000
9397,2025,0,1,4,Fiat,98478
44103,2021,0,3,3,Volkswagen,37914
9630,2024,0,1,4,Toyota,110020
8544,2025,1,1,5,Chevrolet,114637
84514,2018,5,4,2,Volkswagen,16274
132486,2013,5,4,2,Toyota,10000
111245,2016,4,4,2,Chevrolet,10000
59551,2020,3,4,3,Volkswagen,27876
11044,2024,0,1,4,Ford,84416
8370,2024,0,2,3,Volkswagen,90405
194488,2008,4,4,2,Nissan,10000
54043,2021,5,2,3,Nissan,37452
64480,2020,2,2,3,Honda,34096
96269,2016,7,4,4,Fiat,10000
145376,2013,5,4,2,Renault,10000
91952,2018,2,3,2,Renault,10000
5322,2025,0,1,4,Renault,106594
89750,2018,6,2,2,Fiat,10000
42699,2021,1,3,3,Hyundai,33082
27228,2023,1,2,4,Renault,57105
64522,2019,4,1,3,Hyundai,24953
5000,2025,0,1,3,Hyundai,116424
5490,2025,1,1,3,Ford,103914
96544,2017,7,3,1,Toyota,10117
50078,2021,6,2,4,Fiat,32466
74430,2018,2,3,3,Hyundai,13373
103225,2017,4,3,4,Fiat,10000
154260,2010,3,4,2,Ford,10000
35542,2022,3,3,3,Chevrolet,47734
38312,2021,3,1,4,Toyota,56538
158244,2011,5,3,3,Volkswagen,10000
96536,2017,5,4,3,Honda,10000
8558,2025,0,1,4,Renault,92611
103385,2016,5,4,2,Volkswagen,10000
145350,2014,10,3,2,Fiat,10000
43385,2021,2,3,3,Volkswagen,39651
15343,2025,0,1,4,Nissan,108015
94444,2016,5,3,3,Toyota,10000
26997,2023,2,1,3,Ford,75131
32155,2023,4,1,4,Fiat,63888
78340,2016,10,3,3,Hyundai,10000
19492,2023,0,1,3,Nissan,56733
77654,2019,3,3,2,Renault,15230
34593,2022,4,2,5,Hyundai,61006
38571,2022,1,2,3,Fiat,39821
43168,2021,5,4,4,Fiat,31624
157249,2012,5,4,1,Fiat,10000
11377,2024,0,3,4,Volkswagen,89394
96359,2018,5,2,3,Volkswagen,12522
123218,2015,3,3,4,Chevrolet,10000
185230,2010,7,4,1,Chevrolet,10000
33146,2022,3,2,3,Jeep,67508
21242,2023,2,2,3,Hyundai,69094
196866,2008,11,4,3,Renault,10000
51156,2021,2,3,2,Honda,40218
102948,2016,6,3,1,Fiat,10000
38008,2022,0,1,3,Honda,59210
146252,2015,9,2,3,Chevrolet,10000
28928,2023,0,2,3,Hyundai,69889
68806,2019,6,1,3,Chevrolet,19604
16805,2025,0,1,3,Jeep,131523
126586,2014,8,4,2,Chevrolet,10000
62431,2018,5,3,3,Chevrolet,13871
130032,2013,5,4,1,Jeep,10000
5000,2025,0,1,4,Fiat,98371
10594,2024,1,1,4,Honda,102285
96208,2017,7,3,3,Honda,10000
33483,2023,2,1,3,Renault,59348
13308,2024,0,1,4,Jeep,124177
46247,2021,0,2,4,Jeep,59567
54635,2021,4,2,2,Fiat,29146
81466,2016,6,4,3,Renault,10000
159398,2012,5,3,2,Hyundai,10000
15083,2025,0,1,4,Hyundai,131344
6086,2025,1,1,4,Volkswagen,108258
43924,2022,1,2,3,Hyundai,53005
87582,2018,2,2,2,Jeep,22714
79605,2018,4,4,4,Nissan,12192
27580,2023,1,1,4,Ford,68417
21083,2025,0,1,3,Fiat,99276
12727,2025,1,1,4,Chevrolet,102035
12993,2024,1,1,3,Renault,71272
32817,2022,1,1,3,Honda,62144
143743,2012,10,4,2,Ford,10000
143016,2014,6,3,2,Fiat,10000
8576,2025,1,1,4,Ford,119952
36496,2022,0,1,2,Ford,46065
196122,2008,12,4,2,Nissan,10000
150637,2013,8,3,2,Hyundai,10000
25887,2023,2,1,5,Chevrolet,67829
221112,2008,10,4,1,Toyota,10000
125234,2014,4,2,3,Fiat,10000
45841,2021,1,2,4,Jeep,63664
18463,2023,2,2,2,Chevrolet,60134
21487,2023,3,2,4,Toyota,85436
112528,2016,4,4,3,Chevrolet,10000
28282,2023,2,2,4,Honda,77015
96934,2016,7,3,3,Hyundai,10000
93203,2018,6,3,3,Honda,14817
31669,2023,2,3,3,Chevrolet,63268
38864,2022,3,1,2,Chevrolet,45135
19507,2024,1,1,4,Volkswagen,91753
